symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
APOLLOHOSP,INE437A01024,19/04/24,NSE,EQ,EQ,buy,FALSE,18,6156.95,1284414,1E+15,2024-04-19T09:39:44
APOLLOHOSP,INE437A01024,19/04/24,NSE,EQ,EQ,sell,FALSE,6,6082.85,2896094,1E+15,2024-04-19T10:59:10
APOLLOHOSP,INE437A01024,19/04/24,NSE,EQ,EQ,sell,FALSE,1,6082.7,2896095,1E+15,2024-04-19T10:59:10
APOLLOHOSP,INE437A01024,19/04/24,NSE,EQ,EQ,sell,FALSE,4,6083.05,2896093,1E+15,2024-04-19T10:59:10
APOLLOHOSP,INE437A01024,19/04/24,NSE,EQ,EQ,sell,FALSE,7,6083.55,2896092,1E+15,2024-04-19T10:59:10
ASIANPAINT,INE021A01026,09/02/23,NSE,EQ,EQ,buy,FALSE,5,2797.35,3241341,1E+15,2023-02-09T12:34:12
ASIANPAINT,INE021A01026,09/02/23,NSE,EQ,EQ,buy,FALSE,4,2797.35,3241342,1E+15,2023-02-09T12:34:12
ASIANPAINT,INE021A01026,09/02/23,NSE,EQ,EQ,buy,FALSE,6,2797.35,3241343,1E+15,2023-02-09T12:34:12
ASIANPAINT,INE021A01026,06/03/23,NSE,EQ,EQ,buy,FALSE,2,2858,1299442,1E+15,2023-03-06T09:58:38
ASIANPAINT,INE021A01026,06/03/23,NSE,EQ,EQ,buy,FALSE,1,2858,1299439,1E+15,2023-03-06T09:58:38
ASIANPAINT,INE021A01026,06/03/23,NSE,EQ,EQ,buy,FALSE,8,2858,1299438,1E+15,2023-03-06T09:58:38
ASIANPAINT,INE021A01026,06/03/23,NSE,EQ,EQ,buy,FALSE,3,2858,1299441,1E+15,2023-03-06T09:58:38
ASIANPAINT,INE021A01026,06/03/23,NSE,EQ,EQ,buy,FALSE,1,2858,1299440,1E+15,2023-03-06T09:58:38
ASIANPAINT,INE021A01026,21/04/23,BSE,EQ,A,sell,FALSE,5,2859,1035600,1.68205E+18,2023-04-21T09:37:37
ASIANPAINT,INE021A01026,21/04/23,BSE,EQ,A,sell,FALSE,5,2859,1035400,1.68205E+18,2023-04-21T09:37:37
ASIANPAINT,INE021A01026,21/04/23,BSE,EQ,A,sell,FALSE,5,2859,1035200,1.68205E+18,2023-04-21T09:37:37
ASIANPAINT,INE021A01026,21/04/23,BSE,EQ,A,sell,FALSE,5,2859,1035000,1.68205E+18,2023-04-21T09:37:37
ASIANPAINT,INE021A01026,21/04/23,BSE,EQ,A,sell,FALSE,4,2859,1034800,1.68205E+18,2023-04-21T09:37:37
ASIANPAINT,INE021A01026,21/04/23,BSE,EQ,A,sell,FALSE,1,2859,1036000,1.68205E+18,2023-04-21T09:37:37
ASIANPAINT,INE021A01026,21/04/23,BSE,EQ,A,sell,FALSE,5,2859,1035800,1.68205E+18,2023-04-21T09:37:37
INFY,INE009A01021,08/02/23,NSE,EQ,EQ,buy,FALSE,4,1582.15,25593008,1.1E+15,2023-02-08T09:41:17
INFY,INE009A01021,08/02/23,NSE,EQ,EQ,buy,FALSE,6,1582.15,25593007,1.1E+15,2023-02-08T09:41:17
INFY,INE009A01021,06/03/23,BSE,EQ,A,buy,FALSE,20,1501.35,2168500,1.67807E+18,2023-03-06T10:05:17
INFY,INE009A01021,06/03/23,BSE,EQ,A,buy,FALSE,20,1505,2309600,1.67807E+18,2023-03-06T10:10:34
INFY,INE009A01021,27/04/23,NSE,EQ,EQ,buy,FALSE,40,1233.65,26943860,1.1E+15,2023-04-27T11:29:35
INFY,INE009A01021,10/10/23,NSE,EQ,EQ,sell,FALSE,68,1477.4,20883377,1.1E+15,2023-10-10T09:43:26
INFY,INE009A01021,10/10/23,NSE,EQ,EQ,sell,FALSE,22,1477.55,20883376,1.1E+15,2023-10-10T09:43:26
INFY,INE009A01021,12/11/23,NSE,EQ,EQ,buy,FALSE,10,1383.2,20257246,1.1E+15,2023-11-12T18:17:50
INFY,INE009A01021,27/12/23,BSE,EQ,A,sell,FALSE,10,1566.95,311890700,1.70367E+18,2023-12-27T15:09:19
